data source,Variables
2D_1h_0.25deg,"['100u', '100v', '10u', '10v', '2d', '2t', 'cape', 'ci', 'ewss', 'fdir', 'hcc', 'i10fg', 'lcc', 'lgws', 'litota1', 'lsm', 'mcc', 'mgws', 'mld', 'msl', 'nsss', 'ocu', 'ocv', 'rsn', 'sav300', 'sd', 'sf', 'sithick', 'skt', 'slhf', 'so', 'sp', 'sro', 'sshf', 'ssr', 'ssrd', 'ssrdc', 'ssro', 'sst', 'stl1', 'stl2', 'stl3', 'stl4', 'str', 'strd', 'swvl1', 'swvl2', 'swvl3', 'swvl4', 't20d', 'tav300', 'tcc', 'tciw', 'tclw', 'tcrw', 'tcsw', 'tcwv', 'tisr', 'tp', 'tsr', 'ttr', 'z', 'zos']"
2D_1h_1deg,"['100u', '100v', '10u', '10v', '2d', '2t', 'cape', 'ci', 'ewss', 'fdir', 'hcc', 'i10fg', 'lcc', 'lgws', 'litota1', 'lsm', 'mcc', 'mgws', 'mld', 'msl', 'nsss', 'ocu', 'ocv', 'rsn', 'sav300', 'sd', 'sf', 'sithick', 'skt', 'slhf', 'so', 'sp', 'sro', 'sshf', 'ssr', 'ssrd', 'ssrdc', 'ssro', 'sst', 'stl1', 'stl2', 'stl3', 'stl4', 'str', 'strd', 'swvl1', 'swvl2', 'swvl3', 'swvl4', 't20d', 'tav300', 'tcc', 'tciw', 'tclw', 'tcrw', 'tcsw', 'tcwv', 'tisr', 'tp', 'tsr', 'ttr', 'z', 'zos']"
2D_1h_native,"['100u', '100v', '10u', '10v', '2d', '2t', 'ci', 'ewss', 'fdir', 'i10fg', 'lgws', 'litota1', 'lsm', 'mgws', 'mld', 'msl', 'nsss', 'ocu', 'ocv', 'rsn', 'sav300', 'sd', 'sf', 'sithick', 'skt', 'slhf', 'so', 'sp', 'sro', 'sshf', 'ssr', 'ssrd', 'ssrdc', 'ssro', 'sst', 'stl1', 'stl2', 'stl3', 'stl4', 'str', 'strd', 'swvl1', 'swvl2', 'swvl3', 'swvl4', 't20d', 'tav300', 'tcc', 'tciw', 'tclw', 'tcrw', 'tcsw', 'tcwv', 'tisr', 'tp', 'tsr', 'ttr', 'z', 'zos']"
2D_monthly_0.25deg,"['100u', '100v', '10u', '10v', '2d', '2t', 'cape', 'ci', 'ewss', 'fdir', 'hcc', 'i10fg', 'lcc', 'lgws', 'litoti', 'lsm', 'mcc', 'mgws', 'mld', 'msl', 'nsss', 'ocu', 'ocv', 'rsn', 'sav300', 'sd', 'sf', 'sithick', 'skt', 'slhf', 'so', 'sp', 'sro', 'sshf', 'ssr', 'ssrd', 'ssrdc', 'ssro', 'sst', 'stl1', 'stl2', 'stl3', 'stl4', 'str', 'strd', 'swvl1', 'swvl2', 'swvl3', 'swvl4', 't20d', 'tav300', 'tcc', 'tciw', 'tclw', 'tcrw', 'tcsw', 'tcwv', 'tisr', 'tp', 'tsr', 'ttr', 'z', 'zos']"
2D_monthly_1deg,"['100u', '100v', '10u', '10v', '2d', '2t', 'cape', 'ci', 'ewss', 'fdir', 'hcc', 'i10fg', 'lcc', 'lgws', 'litoti', 'lsm', 'mcc', 'mgws', 'mld', 'msl', 'nsss', 'ocu', 'ocv', 'rsn', 'sav300', 'sd', 'sf', 'sithick', 'skt', 'slhf', 'so', 'sp', 'sro', 'sshf', 'ssr', 'ssrd', 'ssrdc', 'ssro', 'sst', 'stl1', 'stl2', 'stl3', 'stl4', 'str', 'strd', 'swvl1', 'swvl2', 'swvl3', 'swvl4', 't20d', 'tav300', 'tcc', 'tciw', 'tclw', 'tcrw', 'tcsw', 'tcwv', 'tisr', 'tp', 'tsr', 'ttr', 'z', 'zos']"
2D_monthly_native,"['100u', '100v', '10u', '10v', '2d', '2t', 'ci', 'ewss', 'fdir', 'i10fg', 'lgws', 'litoti', 'lsm', 'mgws', 'mld', 'msl', 'nsss', 'ocu', 'ocv', 'rsn', 'sav300', 'sd', 'sf', 'sithick', 'skt', 'slhf', 'so', 'sp', 'sro', 'sshf', 'ssr', 'ssrd', 'ssrdc', 'ssro', 'sst', 'stl1', 'stl2', 'stl3', 'stl4', 'str', 'strd', 'swvl1', 'swvl2', 'swvl3', 'swvl4', 't20d', 'tav300', 'tcc', 'tciw', 'tclw', 'tcrw', 'tcsw', 'tcwv', 'tisr', 'tp', 'tsr', 'ttr', 'z', 'zos']"
3D_1h6h_0.25deg,"['cc', 'ciwc', 'clwc', 'crwc', 'cswc', 'q', 't', 'u', 'v', 'w', 'z', '~']"
3D_1h6h_1deg,"['cc', 'ciwc', 'clwc', 'crwc', 'cswc', 'q', 't', 'u', 'v', 'w', 'z', '~']"
3D_1h6h_native,"['cc', 'ciwc', 'clwc', 'crwc', 'cswc', 'q', 't', 'u', 'v', 'w', 'z', '~']"
3D_monthly_0.25deg,"['cc', 'ciwc', 'clwc', 'crwc', 'cswc', 'q', 't', 'u', 'v', 'w', 'z', '~']"
3D_monthly_1deg,"['cc', 'ciwc', 'clwc', 'crwc', 'cswc', 'q', 't', 'u', 'v', 'w', 'z', '~']"
3D_monthly_native,"['cc', 'ciwc', 'clwc', 'crwc', 'cswc', 'q', 't', 'u', 'v', 'w', 'z', '~']"
WAM_1h_native,"['cdww', 'dwi', 'mwd', 'mwp', 'pp1d', 'swh', 'wind']"
